SPACECRAFT DATE/TIME ,   adcs_main ADATTERRX,   adcs_main ADATTERRY,   adcs_main ADATTERRZ
        UTC          ,                    DN,                    DN,                    DN
  04/08/13 00:03:01.0,  -6.6246889431909E-08,   5.5155638204833E-10,  -2.1654375107853E-09
  04/08/13 00:08:01.0,  -8.6744715600181E-08,   7.7020265676353E-09,   1.2288687637844E-09
  04/08/13 00:13:01.0,   2.0969343304718E-08,  -5.7207930304060E-09,  -1.3096945335652E-09
  04/08/13 00:18:01.0,  -1.9465979592681E-08,  -1.4623393302521E-09,  -5.1711233265787E-09
  04/08/13 00:23:01.0,   2.3236192229585E-09,  -9.4019094465381E-09,  -1.7878260912448E-09
  04/08/13 00:28:01.0,   2.5521738322709E-09,  -9.4737411249213E-11,   4.1185450161407E-10
  04/08/13 00:33:01.0,   2.9260366396500E-09,  -9.0342988867675E-10,  -5.2634876372230E-09
  04/08/13 00:38:01.0,  -3.3278987062365E-09,  -5.8894748278249E-09,   4.9904994433210E-10
  04/08/13 00:43:01.0,  -3.1020641459989E-08,  -7.9966210423758E-09,  -7.7783717244984E-10
  04/08/13 00:48:01.0,  -7.4862803183251E-08,   7.6439723062371E-09,   3.5237073710744E-09
  04/08/13 00:53:01.0,   4.3713142486486E-08,   4.4550149450965E-09,  -3.2260296400043E-09
  04/08/13 00:58:01.0,  -5.7094746284866E-08,  -1.0422916002876E-08,   8.0858858242463E-09
  04/08/13 01:03:01.0,   4.0135391635350E-08,   3.5772737394524E-09,  -5.1070925262871E-09
  04/08/13 01:08:01.0,  -6.7573406029216E-08,  -3.5147031507421E-10,   2.3747212300288E-09
  04/08/13 01:13:01.0,   3.3920432980968E-09,   9.3877661866415E-10,  -7.0547523372174E-09
  04/08/13 01:18:01.0,  -2.8491062534404E-08,  -1.3606395102469E-08,   1.1620073626280E-08
  04/08/13 01:23:01.0,   1.0576218964313E-08,  -1.5531555404754E-09,  -1.1629377845897E-09
  04/08/13 01:28:01.0,  -7.9032208433934E-08,   1.9332832275805E-09,  -1.0408139075047E-08
  04/08/13 01:33:01.0,   2.4325493335198E-08,  -1.7215510779896E-09,   1.0325728346435E-09
  04/08/13 01:38:01.0,   5.1332874330493E-08,  -3.9525413253472E-09,  -2.8870696574164E-09
  04/08/13 01:43:01.0,   9.2610860846776E-09,   4.8333444728025E-10,   7.1906893047332E-09
  04/08/13 01:48:01.0,   4.5008503057886E-08,  -4.3970634629649E-09,   4.3586674336460E-09
  04/08/13 01:53:01.0,   4.3017869622020E-09,  -3.4304983653755E-09,   8.3656579717243E-09
  04/08/13 01:58:01.0,   2.9956898538093E-08,   1.2756382202402E-09,  -7.3143598866565E-09
  04/08/13 02:03:01.0,  -4.8037153218180E-08,   1.6775448171321E-09,   8.0210879667882E-09
  04/08/13 02:08:01.0,  -7.0914044414394E-09,   9.9304811277771E-09,  -6.8238424518382E-09
  04/08/13 02:13:01.0,  -3.1945587988247E-08,  -1.5358807171258E-08,   1.0529558454135E-08
  04/08/13 02:18:01.0,  -2.8768453338065E-09,  -6.9952706368189E-09,  -8.5752556463111E-10
  04/08/13 02:23:01.0,   1.2049777401065E-08,   5.0692632373265E-09,  -2.3686540640000E-09
  04/08/13 02:28:01.0,  -2.8522767235491E-08,   7.5752109710929E-09,   2.5060824437872E-09
  04/08/13 02:33:01.0,  -3.3737770260047E-08,  -2.2964298018735E-10,  -2.5082941544907E-08
  04/08/13 02:38:01.0,  -1.2564805900173E-08,  -6.5546191289438E-10,  -4.6206037577582E-09
  04/08/13 02:43:01.0,  -6.2374723205731E-08,   7.2600507383669E-10,  -5.3636877406227E-09
