SPACECRAFT DATE/TIME ,   adcs_main ADRW1TRQF,   adcs_main ADRW2TRQF,   adcs_main ADRW3TRQF,   adcs_main ADRW4TRQF
        UTC          ,                    DN,                    DN,                    DN,                    DN
  05/04/13 04:15:00.0,   3.6554672988132E-03,   0.0000000000000E+00,  -3.7778611294925E-03,   3.5679800203070E-03
  05/04/13 04:20:00.0,   3.6717050243169E-03,   0.0000000000000E+00,  -3.8227230155220E-03,   3.5670828850319E-03
  05/04/13 04:25:00.0,   3.7000970914960E-03,   0.0000000000000E+00,  -3.8397235330194E-03,   3.5779241006821E-03
  05/04/13 04:30:00.0,   3.6768276089182E-03,   0.0000000000000E+00,  -3.8164538952212E-03,   3.5837433145692E-03
  05/04/13 04:35:00.0,   3.7429000949487E-03,   0.0000000000000E+00,  -3.8653683150187E-03,   3.6029784241691E-03
  05/04/13 04:40:00.0,   3.7065752937148E-03,   0.0000000000000E+00,  -3.8808648629735E-03,   3.5787303932011E-03
  05/04/13 04:45:00.0,   3.7699103122577E-03,   0.0000000000000E+00,  -3.8746299687773E-03,   3.5779241006821E-03
  05/04/13 04:50:00.0,   3.7582762694607E-03,   0.0000000000000E+00,  -3.9095381895701E-03,   3.5721078359832E-03
  05/04/13 04:55:00.0,   3.7953336723149E-03,   0.0000000000000E+00,  -3.9178018923849E-03,   3.5854513989761E-03
  05/04/13 05:00:00.0,   3.7879139029731E-03,   0.0000000000000E+00,  -3.9273453100274E-03,   3.5787184412281E-03
  05/04/13 05:05:00.0,   3.8222701987252E-03,   0.0000000000000E+00,  -3.9444430731237E-03,   3.5779241006821E-03
  05/04/13 05:10:00.0,   3.8397249300033E-03,   0.0000000000000E+00,  -3.9444446253280E-03,   3.5721077583730E-03
  05/04/13 05:15:00.0,   3.8127870066091E-03,   0.0000000000000E+00,  -3.9527085609734E-03,   3.5505448468029E-03
  05/04/13 05:20:00.0,   3.8343585717181E-03,   0.0000000000000E+00,  -3.9854253021379E-03,   3.5671316242466E-03
  05/04/13 05:25:00.0,   3.8746299687773E-03,   0.0000000000000E+00,  -3.9968031924218E-03,   3.5604708828032E-03
  05/04/13 05:30:00.0,   3.8862670771778E-03,   0.0000000000000E+00,  -4.0375289196769E-03,   3.5604722797871E-03
  05/04/13 05:35:00.0,   3.8652748335153E-03,   0.0000000000000E+00,  -4.0227225981653E-03,   3.5854332381859E-03
  05/04/13 05:40:00.0,   3.9041358977556E-03,   0.0000000000000E+00,  -4.0319319814444E-03,   3.5787790548056E-03
  05/04/13 05:45:00.0,   3.9095366373658E-03,   0.0000000000000E+00,  -4.0666160639375E-03,   3.5779241006821E-03
  05/04/13 05:50:00.0,   3.9328091467420E-03,   0.0000000000000E+00,  -4.0608000320693E-03,   3.5837433145692E-03
  05/04/13 05:55:00.0,   3.9352551102638E-03,   0.0000000000000E+00,  -4.0927035734057E-03,   3.5504710394889E-03
  05/04/13 06:00:00.0,   3.9505185559392E-03,   0.0000000000000E+00,  -4.1131723361711E-03,   3.5671316242466E-03
  05/04/13 06:05:00.0,   3.9968031924218E-03,   0.0000000000000E+00,  -4.1189761832356E-03,   3.5779241006821E-03
  05/04/13 06:10:00.0,   4.0258934410910E-03,   0.0000000000000E+00,  -4.1306132140259E-03,   3.5837433145692E-03
  05/04/13 06:15:00.0,   4.0227225981653E-03,   0.0000000000000E+00,  -4.1451901197433E-03,   3.5854332381859E-03
  05/04/13 06:20:00.0,   4.0318833974500E-03,   0.0000000000000E+00,  -4.1713151149452E-03,   3.5903172877928E-03
  05/04/13 06:25:00.0,   4.0317096281797E-03,   0.0000000000000E+00,  -4.1538826189935E-03,   3.5604708828032E-03
  05/04/13 06:30:00.0,   4.0375289196769E-03,   0.0000000000000E+00,  -4.2004263959825E-03,   3.5721077583730E-03
  05/04/13 06:35:00.0,   4.0927035734057E-03,   0.0000000000000E+00,  -4.1976447682828E-03,   3.6029784241691E-03
  05/04/13 06:40:00.0,   4.0900125168264E-03,   0.0000000000000E+00,  -4.2062217059235E-03,   3.5555079424133E-03
  05/04/13 06:45:00.0,   4.0840695146471E-03,   0.0000000000000E+00,  -4.2062425054610E-03,   3.5604708828032E-03
  05/04/13 06:50:00.0,   4.1189777354399E-03,   0.0000000000000E+00,  -4.2586039441327E-03,   3.5837433145692E-03
  05/04/13 06:55:00.0,   4.1276102419943E-03,   0.0000000000000E+00,  -4.2676057200879E-03,   3.6029047332704E-03
  05/04/13 07:00:00.0,   4.1596794811388E-03,   0.0000000000000E+00,  -4.2875244592627E-03,   3.5787303932011E-03
  05/04/13 07:05:00.0,   4.1713358368725E-03,   0.0000000000000E+00,  -4.2760556098074E-03,   3.5779241006821E-03
  05/04/13 07:10:00.0,   4.1538843264182E-03,   0.0000000000000E+00,  -4.2935106903315E-03,   3.5721078359832E-03
  05/04/13 07:15:00.0,   4.1800965555012E-03,   0.0000000000000E+00,  -4.3024905025959E-03,   3.5854332381859E-03
  05/04/13 07:20:00.0,   4.1945860721171E-03,   0.0000000000000E+00,  -4.2991599378486E-03,   3.5787303932011E-03
  05/04/13 07:25:00.0,   4.2062425054610E-03,   0.0000000000000E+00,  -4.3284157291055E-03,   3.5779241006821E-03
  05/04/13 07:30:00.0,   4.2353329869608E-03,   0.0000000000000E+00,  -4.3516882384817E-03,   3.5953788707654E-03
  05/04/13 07:35:00.0,   4.2326252441853E-03,   0.0000000000000E+00,  -4.3899999000132E-03,   3.5679981810972E-03
  05/04/13 07:40:00.0,   4.2410166934133E-03,   0.0000000000000E+00,  -4.3688610506554E-03,   3.5554473288357E-03
  05/04/13 07:45:00.0,   4.2760556098074E-03,   0.0000000000000E+00,  -4.3982286006212E-03,   3.5779241006821E-03
  05/04/13 07:50:00.0,   4.2818750565251E-03,   0.0000000000000E+00,  -4.4331370542447E-03,   3.5721077583730E-03
  05/04/13 07:55:00.0,   4.3200175277889E-03,   0.0000000000000E+00,  -4.4600116088986E-03,   3.5679800203070E-03
  05/04/13 08:00:00.0,   4.3339546148976E-03,   0.0000000000000E+00,  -4.4501634935538E-03,   3.5903051029891E-03
  05/04/13 08:05:00.0,   4.3633221648633E-03,   0.0000000000000E+00,  -4.4854951556772E-03,   3.5953773185611E-03
  05/04/13 08:10:00.0,   4.3516882384817E-03,   0.0000000000000E+00,  -4.4796791238089E-03,   3.5953788707654E-03
  05/04/13 08:15:00.0,   4.3724728748202E-03,   0.0000000000000E+00,  -4.4774140696973E-03,   3.5679981810972E-03
  05/04/13 08:20:00.0,   4.3805112751822E-03,   0.0000000000000E+00,  -4.4966718802849E-03,   3.5903659493973E-03
  05/04/13 08:25:00.0,   4.3807753827423E-03,   0.0000000000000E+00,  -4.5029483735561E-03,   3.5779241006821E-03
  05/04/13 08:30:00.0,   4.4331368990242E-03,   0.0000000000000E+00,  -4.5494923057655E-03,   3.5721078359832E-03
  05/04/13 08:35:00.0,   4.4430657289922E-03,   0.0000000000000E+00,  -4.5480201952159E-03,   3.5858998307958E-03
  05/04/13 08:40:00.0,   4.4501296555003E-03,   0.0000000000000E+00,  -4.5431166266402E-03,   3.5787790548056E-03
  05/04/13 08:45:00.0,   4.4505884870887E-03,   0.0000000000000E+00,  -4.6076681464911E-03,   3.5604708828032E-03
  05/04/13 08:50:00.0,   4.4564080114166E-03,   0.0000000000000E+00,  -4.5960345305502E-03,   3.5721077583730E-03
  05/04/13 08:55:00.0,   4.5124681200832E-03,   0.0000000000000E+00,  -4.5998822897673E-03,   3.5855252062902E-03
  05/04/13 09:00:00.0,   4.5082923024893E-03,   0.0000000000000E+00,  -4.6012302239736E-03,   3.5670828850319E-03
  05/04/13 09:05:00.0,   4.5204015914351E-03,   0.0000000000000E+00,  -4.6425745822489E-03,   3.5604708828032E-03
  05/04/13 09:10:00.0,   4.5262211933732E-03,   0.0000000000000E+00,  -4.6425764448941E-03,   3.5837433145692E-03
  05/04/13 09:15:00.0,   4.5474485959858E-03,   0.0000000000000E+00,  -4.7048972919583E-03,   3.5679981810972E-03
  05/04/13 09:20:00.0,   4.5431501542528E-03,   0.0000000000000E+00,  -4.6476259206732E-03,   3.5671317018569E-03
  05/04/13 09:25:00.0,   4.5727617107332E-03,   0.0000000000000E+00,  -4.6949347015470E-03,   3.5779241006821E-03
  05/04/13 09:30:00.0,   4.5843990519643E-03,   0.0000000000000E+00,  -4.7007543034852E-03,   3.5604722797871E-03
  05/04/13 09:35:00.0,   4.5999325811863E-03,   0.0000000000000E+00,  -4.7223265282810E-03,   3.6029601469636E-03
  05/04/13 09:40:00.0,   4.5895947453876E-03,   0.0000000000000E+00,  -4.6941681454579E-03,   3.5787183636179E-03
  05/04/13 09:45:00.0,   4.6251213643700E-03,   0.0000000000000E+00,  -4.7298411373049E-03,   3.5604708828032E-03
  05/04/13 09:50:00.0,   4.6542120787005E-03,   0.0000000000000E+00,  -4.7589318516354E-03,   3.5953788707654E-03
  05/04/13 09:55:00.0,   4.6703803818673E-03,   0.0000000000000E+00,  -4.7752559185028E-03,   3.5858635092154E-03
  05/04/13 10:00:00.0,   4.6502468176186E-03,   0.0000000000000E+00,  -4.7722009476274E-03,   3.5704058827832E-03
  05/04/13 18:40:00.0,   6.2133744359016E-03,   0.0000000000000E+00,  -6.2831877730787E-03,   3.5953796468675E-03
  05/04/13 18:45:00.0,   6.2482771463692E-03,   0.0000000000000E+00,  -6.3006370328367E-03,   3.6128306528553E-03
  05/04/13 18:50:00.0,   6.2366441513101E-03,   0.0000000000000E+00,  -6.3180928118527E-03,   3.6070144269615E-03
  05/04/13 18:55:00.0,   6.2614548951387E-03,   0.0000000000000E+00,  -6.3314153812826E-03,   3.6029601469636E-03
  05/04/13 19:00:00.0,   6.2860127848883E-03,   0.0000000000000E+00,  -6.3208707918723E-03,   3.6019528439889E-03
  05/04/13 19:05:00.0,   6.2831835821271E-03,   0.0000000000000E+00,  -6.3529969193041E-03,   3.5953773185611E-03
  05/04/13 19:10:00.0,   6.2948218546808E-03,   0.0000000000000E+00,  -6.3646348814170E-03,   3.5953788707654E-03
  05/04/13 19:15:00.0,   6.3314477447420E-03,   0.0000000000000E+00,  -6.3664279878139E-03,   3.6029784241691E-03
  05/04/13 19:20:00.0,   6.3319394054512E-03,   0.0000000000000E+00,  -6.3900134215752E-03,   3.6132644551496E-03
  05/04/13 19:25:00.0,   6.3704501371831E-03,   0.0000000000000E+00,  -6.4053568057716E-03,   3.6128306528553E-03
  05/04/13 19:30:00.0,   6.3762705152233E-03,   0.0000000000000E+00,  -6.4111772614221E-03,   3.6070144269615E-03
  05/04/13 19:35:00.0,   6.3663218170404E-03,   0.0000000000000E+00,  -6.4188290853053E-03,   3.6029601469636E-03
  05/04/13 19:40:00.0,   6.4022007087866E-03,   0.0000000000000E+00,  -6.4370096661150E-03,   3.6019406591853E-03
  05/04/13 19:45:00.0,   6.4053568057716E-03,   0.0000000000000E+00,  -6.4577166922390E-03,   3.5953773185611E-03
  05/04/13 19:50:00.0,   6.4344482185940E-03,   0.0000000000000E+00,  -6.4693548095723E-03,   3.6186499055475E-03
  05/04/13 19:55:00.0,   6.4363151323050E-03,   0.0000000000000E+00,  -6.4888224005699E-03,   3.6029784241691E-03
  05/04/13 20:00:00.0,   6.4615607261658E-03,   0.0000000000000E+00,  -6.4790139440447E-03,   3.6226012744009E-03
  05/05/13 01:45:00.0,   7.5049162842333E-03,   0.0000000000000E+00,  -7.4874628335238E-03,   3.6302850348875E-03
  05/05/13 01:50:00.0,   7.5049162842333E-03,   0.0000000000000E+00,  -7.5049162842333E-03,   3.6477383691818E-03
  05/05/13 01:55:00.0,   7.5397899684807E-03,   0.0000000000000E+00,  -7.5282030738890E-03,   3.6419266058753E-03
  05/05/13 02:00:00.0,   7.5398227199912E-03,   0.0000000000000E+00,  -7.5223695021123E-03,   3.6302850348875E-03
  05/05/13 02:05:00.0,   7.5398227199912E-03,   0.0000000000000E+00,  -7.5572759378701E-03,   3.6302850348875E-03
  05/05/13 02:10:00.0,   7.5921826064587E-03,   0.0000000000000E+00,  -7.5572761707008E-03,   3.6477383691818E-03
