SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  08/29/12 00:01:04.0,   2.6201552356400E+01,   1.6925248359091E+02,   2.5197627392151E+01,   2.6925612148999E+01
  08/29/12 00:06:04.0,   2.6171235000882E+01,   1.6925248359091E+02,   2.5196561561907E+01,   2.6935451769221E+01
  08/29/12 00:11:04.0,   2.6224708510039E+01,   1.6925248359091E+02,   2.5180274582381E+01,   2.6951693808615E+01
  08/29/12 00:16:04.0,   2.6171235450420E+01,   1.6925248359091E+02,   2.5207826999463E+01,   2.6960851856877E+01
  08/29/12 00:21:04.0,   2.6218920501047E+01,   1.6925248359091E+02,   2.5232335083015E+01,   2.6928507786537E+01
  08/29/12 00:26:04.0,   2.6193782851870E+01,   1.6925248359091E+02,   2.5179664761657E+01,   2.6946736773069E+01
  08/29/12 00:31:04.0,   2.6169711724875E+01,   1.6925248359091E+02,   2.5157135449043E+01,   2.6879246869348E+01
  08/29/12 00:36:04.0,   2.6202236201694E+01,   1.6923290940447E+02,   2.5224723975994E+01,   2.6935456799581E+01
  08/29/12 00:41:04.0,   2.6201553245409E+01,   1.6925248359091E+02,   2.5229443028852E+01,   2.6916918439772E+01
  08/29/12 00:46:04.0,   2.6202237307440E+01,   1.6925248359091E+02,   2.5219091974411E+01,   2.6893117312776E+01
  08/29/12 00:51:04.0,   2.6146556459615E+01,   1.6925248359091E+02,   2.5214981887354E+01,   2.6896633254057E+01
  08/29/12 00:56:04.0,   2.6199419063769E+01,   1.6925248359091E+02,   2.5207826687056E+01,   2.6910052809212E+01
  08/29/12 01:01:04.0,   2.6242076582784E+01,   1.6925248359091E+02,   2.5238119873671E+01,   2.6922712189869E+01
  08/29/12 01:06:04.0,   2.6207875592322E+01,   1.6925248359091E+02,   2.5233172654815E+01,   2.6901585991326E+01
  08/29/12 01:11:04.0,   2.6195768322886E+01,   1.6925248359091E+02,   2.5200520372226E+01,   2.6882147643190E+01
  08/29/12 01:16:04.0,   2.6196603653380E+01,   1.6925248359091E+02,   2.5193745648817E+01,   2.6912873496350E+01
  08/29/12 01:21:04.0,   2.6198659080244E+01,   1.6925248359091E+02,   2.5194735168435E+01,   2.6882143039694E+01
  08/29/12 01:26:04.0,   2.6219149224102E+01,   1.6923290940447E+02,   2.5190930577429E+01,   2.6895945958925E+01
  08/29/12 01:31:04.0,   2.6218920891469E+01,   1.6925248359091E+02,   2.5200519579611E+01,   2.6867654798168E+01
  08/29/12 01:36:04.0,   2.6205055723975E+01,   1.6923290940447E+02,   2.5219092092824E+01,   2.6862085639484E+01
  08/29/12 01:41:04.0,   2.6184188647925E+01,   1.6925248359091E+02,   2.5191843180909E+01,   2.6861856569591E+01
  08/29/12 01:46:04.0,   2.6196600750708E+01,   1.6925248359091E+02,   2.5168399780629E+01,   2.6862085700955E+01
  08/29/12 01:51:04.0,   2.6201554096888E+01,   1.6919230057940E+02,   2.5191842809097E+01,   2.6821291272581E+01
  08/29/12 01:56:04.0,   2.6202242318408E+01,   1.6925248359091E+02,   2.5193745260829E+01,   2.6856447735947E+01
