SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  06/28/12 00:01:22.0,   2.9746781497628E+01,   2.6227604295433E+01,   2.3212979435865E+01,   2.2317760257122E+01
  06/28/12 00:06:22.0,   2.9674817916176E+01,   2.6134599178150E+01,   2.3325442678292E+01,   2.2491880795984E+01
  06/28/12 00:11:22.0,   2.9617889347688E+01,   2.6114873888765E+01,   2.3503194156623E+01,   2.2551294028494E+01
  06/28/12 00:16:22.0,   2.9572367594499E+01,   2.6024698231624E+01,   2.3607556036887E+01,   2.2653134534138E+01
  06/28/12 00:21:22.0,   2.9488923912940E+01,   2.5964012337476E+01,   2.3672052018597E+01,   2.2780861244377E+01
  06/28/12 00:26:22.0,   2.9424478067218E+01,   2.5897908188586E+01,   2.3788021075843E+01,   2.2839696212778E+01
  06/28/12 00:31:22.0,   2.9427959289833E+01,   2.5793815050274E+01,   2.3889075655996E+01,   2.2962581799951E+01
  06/28/12 00:36:22.0,   2.9344853768130E+01,   2.5692257094808E+01,   2.3993794927311E+01,   2.3057239072684E+01
  06/28/12 00:41:22.0,   2.9268124293277E+01,   2.5630290344878E+01,   2.4137510052868E+01,   2.3127843451647E+01
  06/28/12 00:46:22.0,   2.9180049716552E+01,   2.5590857128727E+01,   2.4202317464934E+01,   2.3240764666690E+01
  06/28/12 00:51:22.0,   2.9142750252954E+01,   2.5524845701074E+01,   2.4256999665087E+01,   2.3278972915974E+01
  06/28/12 00:56:22.0,   2.9074956363676E+01,   2.5458124110477E+01,   2.4414665211672E+01,   2.3363540372311E+01
  06/28/12 01:01:22.0,   2.8967086256351E+01,   2.5424678450043E+01,   2.4300909566926E+01,   2.3604747143603E+01
  06/28/12 01:06:22.0,   2.8913131667723E+01,   2.5264149239287E+01,   2.4568535023864E+01,   2.3497565453101E+01
  06/28/12 01:11:22.0,   2.8697500872921E+01,   2.5264149239287E+01,   2.4729073533381E+01,   2.3765478182642E+01
  06/28/12 01:16:22.0,   2.8859198218386E+01,   2.5210641768659E+01,   2.4675561799275E+01,   2.3604723292097E+01
  06/28/12 01:21:22.0,   2.8805305891714E+01,   2.5157135037618E+01,   2.4889599673581E+01,   2.3658331782557E+01
  06/28/12 01:26:22.0,   2.8589756148489E+01,   2.4836092059559E+01,   2.5050120835949E+01,   2.3979709990352E+01
  06/28/12 01:31:22.0,   2.8697520837377E+01,   2.5050120792817E+01,   2.5210641768659E+01,   2.3926156805974E+01
  06/28/12 01:36:22.0,   2.8482050530729E+01,   2.4996614061776E+01,   2.5157135037618E+01,   2.4193872938195E+01
  06/28/12 01:41:22.0,   2.8589756148489E+01,   2.4943107287603E+01,   2.5157134298031E+01,   2.3979709990352E+01
  06/28/12 01:46:22.0,   2.8535903339609E+01,   2.4782582796470E+01,   2.5371169469159E+01,   2.4300927263190E+01
  06/28/12 01:51:22.0,   2.8482050530729E+01,   2.4836090410492E+01,   2.5264149239287E+01,   2.4354457372858E+01
  06/28/12 01:56:22.0,   2.8159159811941E+01,   2.4729073533381E+01,   2.5585218222695E+01,   2.4407981588185E+01
  06/28/12 02:01:22.0,   2.8212956522606E+01,   2.4622046757970E+01,   2.5585218222695E+01,   2.4515019982558E+01
  06/28/12 02:06:22.0,   2.8266771495633E+01,   2.4729071062364E+01,   2.5799299182574E+01,   2.4515015826677E+01
  06/28/12 02:11:22.0,   2.8159159811941E+01,   2.4622050065169E+01,   2.5799299182574E+01,   2.4515019982558E+01
  06/28/12 02:16:22.0,   2.8266753233271E+01,   2.4515015826677E+01,   2.5906354474195E+01,   2.4729073533381E+01
  06/28/12 02:21:22.0,   2.8159177624053E+01,   2.4407981588185E+01,   2.5959887988531E+01,   2.4782582796470E+01
  06/28/12 02:26:22.0,   2.7944078920904E+01,   2.4407981588185E+01,   2.6120501635189E+01,   2.4836092059559E+01
  06/28/12 02:31:22.0,   2.8051602014835E+01,   2.4407976570044E+01,   2.6120501635189E+01,   2.4996614061776E+01
  06/28/12 02:36:22.0,   2.8051619366423E+01,   2.4300927263190E+01,   2.6066975343652E+01,   2.5157134298031E+01
  06/28/12 02:41:22.0,   2.7836589589075E+01,   2.4407981588185E+01,   2.6013421502867E+01,   2.4943107287603E+01
  06/28/12 02:46:22.0,   2.7944146434544E+01,   2.4193872938195E+01,   2.6227604095126E+01,   2.5157134298031E+01
  06/28/12 02:51:22.0,   2.7729148966027E+01,   2.4140336044744E+01,   2.6495406821661E+01,   2.5210641768659E+01
  06/28/12 02:56:22.0,   2.8051602014835E+01,   2.4193872938195E+01,   2.6441833956138E+01,   2.5264149239287E+01
  06/28/12 03:01:22.0,   2.7729133057146E+01,   2.4086799151293E+01,   2.6495425775414E+01,   2.5317661998532E+01
  06/28/12 03:06:22.0,   2.7729133057146E+01,   2.3979709990352E+01,   2.6548989475952E+01,   2.5371169469159E+01
  06/28/12 03:11:22.0,   2.7406950330798E+01,   2.3872603621596E+01,   2.6763331107039E+01,   2.5157134298031E+01
  06/28/12 03:16:22.0,   2.7729148966027E+01,   2.3926156805974E+01,   2.6602562341475E+01,   2.5585218222695E+01
  06/28/12 03:21:22.0,   2.7568011392723E+01,   2.3711904982600E+01,   2.6870550813343E+01,   2.5638736230045E+01
  06/28/12 03:26:22.0,   2.7299614961405E+01,   2.3658331782557E+01,   2.6977770519647E+01,   2.5692254237394E+01
  06/28/12 03:31:22.0,   2.7353282646101E+01,   2.3711904982600E+01,   2.6924154870780E+01,   2.5692254237394E+01
