SPACECRAFT DATE/TIME ,   adcs_main ADRW1TCMD,   adcs_main ADRW2TCMD,   adcs_main ADRW3TCMD,   adcs_main ADRW4TCMD
        UTC          ,                    DN,                    DN,                    DN,                    DN
  06/28/12 00:01:22.0,  -1.0919447103062E-02,  -1.1440155993752E-02,  -8.1236634470368E-03,   1.8551641898131E-05
  06/28/12 00:06:22.0,  -1.2613571342839E-02,  -1.1312183687976E-02,  -8.7334055985723E-03,   1.2916261881377E-03
  06/28/12 00:11:22.0,  -1.0264032529309E-02,  -1.1451206179164E-02,  -7.7759808084057E-03,  -2.9162442016319E-04
  06/28/12 00:16:22.0,  -1.1432499621765E-02,  -1.0765369984728E-02,  -9.6521172326430E-03,  -2.3368280532153E-04
  06/28/12 00:21:22.0,  -1.2420131991325E-02,  -1.1228431179076E-02,  -9.2238782642361E-03,   8.5344449102055E-04
  06/28/12 00:26:22.0,  -1.1029734645892E-02,  -1.1678139794793E-02,  -6.6853080730274E-03,   1.5777732266436E-03
  06/28/12 00:31:22.0,  -1.1965182735226E-02,  -1.1915680336992E-02,  -8.4025980270384E-03,   6.1101313664179E-04
  06/28/12 00:36:22.0,  -1.2326708509207E-02,  -1.0751896565905E-02,  -9.2745734540845E-03,   1.3165383615006E-03
  06/28/12 00:41:22.0,  -1.0919910584702E-02,  -1.0814508883618E-02,  -7.7584099549896E-03,   1.2969111931176E-03
  06/28/12 00:46:22.0,  -1.0612327382388E-02,  -1.0641030196173E-02,  -7.7765572616234E-03,   1.3290919155047E-03
  06/28/12 00:51:22.0,  -1.0779731966651E-02,  -1.0515374682235E-02,  -7.4370229440086E-03,   1.9182652709228E-03
  06/28/12 00:56:22.0,  -1.0747123332377E-02,  -1.1035529670842E-02,  -8.5957155926294E-03,   2.4130104010868E-04
  06/28/12 01:01:22.0,  -7.0311121332149E-03,  -1.5328511285285E-02,  -2.1356169211989E-03,  -1.4993559258680E-03
  06/28/12 01:06:22.0,  -8.0618490464985E-03,  -1.4604277443141E-02,  -7.6082907617092E-04,   1.8234401941299E-03
  06/28/12 01:11:22.0,  -7.0710776587172E-03,  -5.5598594093074E-03,  -4.8143899378677E-03,   5.6096420933803E-03
  06/28/12 01:16:22.0,  -6.5619591623545E-04,  -4.9381884746253E-03,   8.6574651068076E-03,   1.3642670121044E-02
  06/28/12 01:21:22.0,  -3.8735348110398E-03,  -5.6853084824979E-03,  -2.5346392455200E-03,   4.7596911123643E-03
  06/28/12 01:26:22.0,  -2.7837317902595E-03,  -8.5703616496176E-03,  -2.9998132959008E-04,   3.1617274507880E-03
  06/28/12 01:31:22.0,  -3.9233053103089E-03,  -6.4952852359662E-03,  -4.5119548837344E-03,   1.9102465982238E-03
  06/28/12 01:36:22.0,  -3.4924373030663E-03,  -3.4244490088895E-03,  -1.0961545631289E-02,  -1.9014228601009E-03
  06/28/12 01:41:22.0,  -9.5434704174598E-03,  -1.0271649186810E-02,   4.9037946155295E-03,   1.3524785637856E-02
  06/28/12 01:46:22.0,  -7.8004989773035E-03,  -6.0327854007483E-03,  -2.3750686086714E-03,   8.5197405423969E-03
  06/28/12 01:51:22.0,  -1.7787321781119E-02,  -1.3615644353801E-02,  -8.0552785269295E-03,   5.5816750197361E-03
  06/28/12 01:56:22.0,  -5.8748674346134E-03,  -4.3504941277206E-04,   7.9000990372151E-03,   2.2420449182391E-02
  06/28/12 02:01:22.0,  -6.1611369407425E-03,  -6.1326461921756E-03,  -6.0300407931209E-03,   3.2083715001742E-03
  06/28/12 02:06:22.0,  -8.1507898867130E-03,  -7.9467885661870E-03,  -1.4350912206282E-03,   8.0234257038683E-03
  06/28/12 02:11:22.0,  -1.3470273154477E-02,  -1.0157367913052E-02,   4.7587182804515E-03,   1.7169352465620E-02
  06/28/12 02:16:22.0,  -1.3175537344068E-02,  -1.3541710097343E-02,  -7.9214010474971E-03,   6.7645544186234E-04
  06/28/12 02:21:22.0,  -1.1276792113980E-03,  -5.7572484947741E-03,   3.9221550299165E-03,   8.3695801440626E-03
  06/28/12 02:26:22.0,  -8.6662978865206E-03,  -6.2191596371122E-03,   4.3005775660276E-03,   1.6346364631318E-02
  06/28/12 02:31:22.0,  -1.1003217815111E-02,  -6.9335487981637E-03,  -3.7590913319339E-03,   9.5216335418324E-03
  06/28/12 02:36:22.0,  -2.7191545814276E-04,  -9.6754189580679E-03,   1.4882740331814E-02,   1.4425722183660E-02
  06/28/12 02:41:22.0,  -1.4596710369612E-02,  -1.3876586531599E-02,  -4.0120858078202E-03,   6.1272718012333E-03
  06/28/12 02:46:22.0,  -3.6896737292409E-03,  -9.3444222584367E-03,   9.7075186204165E-03,   1.3014344032854E-02
  06/28/12 02:51:22.0,  -1.0152514713506E-02,  -1.1535917719205E-02,   2.0798724144697E-03,   1.0266934909547E-02
  06/28/12 02:56:22.0,  -1.6411768272519E-02,  -1.0859071742743E-02,  -1.0106212110259E-02,   4.7529349685647E-03
  06/28/12 03:01:22.0,  -2.2449788327018E-03,  -1.0390560142696E-02,   6.5724521797771E-03,   7.9693902904789E-03
  06/28/12 03:06:22.0,  -8.5118422284722E-03,  -9.6427244134247E-03,  -3.1043086200953E-03,   4.6696861973032E-03
  06/28/12 03:11:22.0,  -7.2154370136559E-03,  -6.6063806492214E-03,  -4.9941052372257E-03,   4.4243943993933E-03
  06/28/12 03:16:22.0,  -1.1970363557339E-03,  -5.7173643726856E-03,   6.2353266403079E-03,   1.0866762604564E-02
  06/28/12 03:21:22.0,  -9.9614766271164E-03,  -1.2996919142703E-02,  -4.3400228023529E-03,   1.7092697574602E-03
  06/28/12 03:26:22.0,  -9.1456605005078E-03,  -1.0663450928405E-02,   4.8845864366740E-03,   1.2304307194427E-02
  06/28/12 03:31:22.0,  -4.7291998441021E-03,  -6.6853359409530E-03,   4.8326423081259E-03,   1.2200824605922E-02
  06/28/12 03:36:22.0,  -5.5568430689164E-03,  -1.0834752582014E-02,   1.1908274027519E-03,   5.3431582637131E-03
  06/28/12 03:41:22.0,  -1.4725162647665E-02,  -1.0628489311785E-02,  -6.0625144590934E-03,   7.1064161602408E-03
  06/28/12 03:46:22.0,  -5.5734999477863E-05,   1.1231573153054E-03,  -2.2762913722545E-03,   8.3074555732310E-03
  06/28/12 03:51:22.0,  -6.6842006441827E-03,  -6.7092179281948E-03,  -2.6272450340912E-03,   6.6384583090742E-03
  06/28/12 03:56:22.0,   2.7573290280998E-03,  -1.0028728749603E-02,   2.7280111797154E-02,   2.3575857281685E-02
