SPACECRAFT DATE/TIME ,   adcs_main ADATTERRX,   adcs_main ADATTERRY,   adcs_main ADATTERRZ
        UTC          ,                    DN,                    DN,                    DN
  01/28/13 04:20:00.0,  -3.4075713562842E-06,   1.1966080195691E-05,  -2.4603974498660E-06
  01/28/13 04:25:00.0,  -5.2857948968696E-06,   1.1491002650001E-05,  -2.5831602330242E-06
  01/28/13 04:30:00.0,  -5.6440904039334E-06,   8.9023711906222E-06,  -2.2900696729167E-06
  01/28/13 04:35:00.0,  -3.9167871459078E-06,   1.0235063754749E-05,  -1.2757572015021E-06
  01/28/13 04:40:00.0,  -8.1920979873289E-06,   1.1530669196093E-05,  -3.3030345298025E-06
  01/28/13 04:45:00.0,  -3.8037773409272E-06,   1.1502515000217E-05,  -1.3217004245725E-06
  01/28/13 04:50:00.0,  -3.6010537574516E-06,   1.1677460139481E-05,  -1.9616383900800E-06
  01/28/13 04:55:00.0,  -6.2546358689630E-06,   1.0747520305188E-05,  -2.5733973155084E-06
  01/28/13 05:00:00.0,  -5.1072865986157E-06,   1.0167670418859E-05,  -1.8142132541477E-06
  01/28/13 05:05:00.0,  -5.2854299752886E-06,   1.2103891862845E-05,  -3.1742318089781E-06
  01/28/13 05:10:00.0,  -3.2057828101451E-06,   1.0201804347609E-05,  -1.9367727478681E-06
  01/28/13 05:15:00.0,  -6.6528358380502E-06,   1.4410147327482E-05,  -1.0606738261032E-07
  01/28/13 05:20:00.0,   6.2256199877098E-06,   4.0833569645571E-06,   1.2203684928025E-05
  01/28/13 05:25:00.0,   4.0425139827716E-06,   5.6889604568511E-06,   1.1069218523829E-05
  01/28/13 05:30:00.0,   1.0374352757303E-06,   7.9118187748861E-06,   4.0769550558650E-06
  01/28/13 05:35:00.0,   1.1811456487010E-05,   1.9140666671191E-06,   5.4671012734708E-07
  01/28/13 05:40:00.0,   1.2376462102459E-05,   2.1900703393918E-06,   2.4167086234428E-07
  01/28/13 05:45:00.0,   1.1466159454146E-05,   2.6084764750440E-06,  -8.3142232852027E-07
  01/28/13 05:50:00.0,   1.0182567476491E-05,   3.4779364300519E-06,  -1.1133111346595E-06
  01/28/13 05:55:00.0,   1.0972788404828E-05,   1.6697754832151E-06,   8.0952423076042E-08
  01/28/13 06:00:00.0,   1.0606085393761E-05,   2.0834535676251E-06,  -3.5896512757816E-07
  01/28/13 06:05:00.0,   3.5819884985784E-06,   1.0483907107289E-06,  -4.0304905220366E-07
  01/28/13 06:10:00.0,  -1.5634301699312E-05,  -5.4242764867007E-06,   3.5448241562760E-06
  01/28/13 06:15:00.0,  -2.0491550407386E-05,  -4.1363102551516E-06,   2.0957792148274E-06
  01/28/13 06:20:00.0,  -2.0440676061071E-05,  -4.5809644961281E-06,   2.0532495718821E-06
  01/28/13 06:25:00.0,  -2.3249083014889E-05,  -3.4590897370871E-06,  -3.9177370278291E-08
  01/28/13 06:30:00.0,  -2.2981357081638E-05,  -3.8324566691017E-06,   5.2044498123867E-07
  01/28/13 06:35:00.0,  -2.3487676554244E-05,  -3.1641877364545E-06,   5.1983599296553E-07
  01/28/13 06:40:00.0,  -2.4359171578302E-05,  -3.4892073420186E-06,   4.7618993410955E-07
  01/28/13 06:45:00.0,  -2.3343935402712E-05,  -2.2883496082689E-06,  -1.0025612497581E-06
  01/28/13 06:50:00.0,  -2.3519081526805E-05,  -3.5145028512792E-06,  -6.7237868582500E-08
  01/28/13 06:55:00.0,  -2.0938445406387E-05,  -3.8406682030730E-06,  -3.6212268241798E-08
  01/28/13 07:00:00.0,  -2.2760127864956E-05,  -2.7453819150007E-06,  -3.0208989945398E-07
  01/28/13 07:05:00.0,  -2.1892100262448E-05,  -4.3407631274780E-06,   2.2117765198952E-06
  01/28/13 07:10:00.0,  -2.1930139944288E-05,  -4.1360535321170E-06,  -1.8496360442081E-07
  01/28/13 07:15:00.0,  -1.8704065034096E-05,  -5.4422527119868E-06,   3.2206636268484E-06
  01/28/13 07:20:00.0,  -2.2032837190030E-05,  -3.3589761365723E-06,   2.6187376164444E-07
